date,askclose
2021-05-04 21:00:00,11788
2021-05-05 21:00:00,11774
2021-05-06 21:00:00,11755
2021-05-07 21:00:00,11698
2021-05-10 21:00:00,11690
2021-05-11 21:00:00,11677
2021-05-12 21:00:00,11752
2021-05-13 21:00:00,11747
2021-05-14 21:00:00,11712
2021-05-17 21:00:00,11708
2021-05-18 21:00:00,11673
2021-05-19 21:00:00,11715
2021-05-20 21:00:00,11673
2021-05-21 21:00:00,11704
2021-05-24 21:00:00,11686
2021-05-25 21:00:00,11682
2021-05-26 21:00:00,11705
2021-05-27 21:00:00,11702
2021-05-28 21:00:00,11715
2021-05-31 21:00:00,11695
2021-06-01 21:00:00,11700
2021-06-02 21:00:00,11698
2021-06-03 21:00:00,11759
2021-06-04 21:00:00,11712
2021-06-07 21:00:00,11695
2021-06-08 21:00:00,11710
2021-06-09 21:00:00,11720
2021-06-10 21:00:00,11701
2021-06-11 21:00:00,11742
2021-06-14 21:00:00,11744
2021-06-15 21:00:00,11753
2021-06-16 21:00:00,11822
2021-06-17 21:00:00,11855
2021-06-18 21:00:00,11900
2021-06-21 21:00:00,11856
2021-06-22 21:00:00,11852
2021-06-23 21:00:00,11852
2021-06-24 21:00:00,11854
2021-06-25 21:00:00,11858
2021-06-28 21:00:00,11862
2021-06-29 21:00:00,11887
2021-06-30 21:00:00,11906
2021-07-01 21:00:00,11933
2021-07-02 21:00:00,11897
2021-07-05 21:00:00,11896
2021-07-06 21:00:00,11912
2021-07-07 21:00:00,11920
2021-07-08 21:00:00,11912
2021-07-09 21:00:00,11876
2021-07-12 21:00:00,11892
2021-07-13 21:00:00,11931
2021-07-14 21:00:00,11892
2021-07-15 21:00:00,11915
2021-07-16 21:00:00,11938
2021-07-19 21:00:00,11953
2021-07-20 21:00:00,11976
2021-07-21 21:00:00,11959
2021-07-22 21:00:00,11946
2021-07-23 21:00:00,11961
2021-07-26 21:00:00,11935
2021-07-27 21:00:00,11920
2021-07-28 21:00:00,11908
2021-07-29 21:00:00,11879
2021-07-30 21:00:00,11906
2021-08-02 21:00:00,11901
2021-08-03 21:00:00,11882
2021-08-04 21:00:00,11903
2021-08-05 21:00:00,11897
2021-08-06 21:00:00,11940
2021-08-09 21:00:00,11954
2021-08-10 21:00:00,11960
2021-08-11 21:00:00,11943
2021-08-12 21:00:00,11963
2021-08-13 21:00:00,11918
2021-08-16 21:00:00,11928
2021-08-17 21:00:00,11985
2021-08-18 21:00:00,11990
2021-08-19 21:00:00,12036
2021-08-20 21:00:00,12035
2021-08-23 21:00:00,11994
2021-08-24 21:00:00,11977
2021-08-25 21:00:00,11970
2021-08-26 21:00:00,11994
2021-08-27 21:00:00,11955
2021-08-30 21:00:00,11959
2021-08-31 21:00:00,11954
2021-09-01 21:00:00,11934
2021-09-02 21:00:00,11907
2021-09-03 21:00:00,11887
2021-09-06 21:00:00,11897
2021-09-07 21:00:00,11931
2021-09-08 21:00:00,11942
2021-09-09 21:00:00,11921
2021-09-10 21:00:00,11933
2021-09-13 21:00:00,11927
2021-09-14 21:00:00,11941
2021-09-15 21:00:00,11925
2021-09-16 21:00:00,11958
2021-09-17 21:00:00,11986
2021-09-20 21:00:00,11993
2021-09-21 21:00:00,11993
2021-09-22 21:00:00,12015
2021-09-23 21:00:00,11983
2021-09-24 21:00:00,12011
2021-09-27 21:00:00,12010
2021-09-28 21:00:00,12057
2021-09-29 21:00:00,12112
2021-09-30 21:00:00,12086
2021-10-01 21:00:00,12058
2021-10-04 21:00:00,12036
2021-10-05 21:00:00,12044
2021-10-06 21:00:00,12063
2021-10-07 21:00:00,12053
2021-10-08 21:00:00,12060
2021-10-11 21:00:00,12075
2021-10-12 21:00:00,12083
2021-10-13 21:00:00,12047
2021-10-14 21:00:00,12041
2021-10-15 21:00:00,12040
2021-10-18 21:00:00,12042
2021-10-19 21:00:00,12013
2021-10-20 21:00:00,11994
2021-10-21 21:00:00,12010
2021-10-22 21:00:00,12004
2021-10-25 21:00:00,12008
2021-10-26 21:00:00,12015
2021-10-27 21:00:00,12008
2021-10-28 21:00:00,11975
2021-10-29 21:00:00,12027
2021-11-01 21:00:00,12022
2021-11-02 21:00:00,12056
2021-11-03 21:00:00,12034
2021-11-04 21:00:00,12083
2021-11-05 21:00:00,12075
2021-11-08 22:00:00,12053
2021-11-09 22:00:00,12058
2021-11-10 22:00:00,12132
2021-11-11 22:00:00,12154
2021-11-12 22:00:00,12137
2021-11-15 22:00:00,12151
2021-11-16 22:00:00,12178
2021-11-17 22:00:00,12167
2021-11-18 22:00:00,12155
2021-11-19 22:00:00,12189
2021-11-22 22:00:00,12219
2021-11-23 22:00:00,12223
2021-11-24 22:00:00,12253
2021-11-25 22:00:00,12254
2021-11-26 22:00:00,12216
2021-11-29 22:00:00,12221
2021-11-30 22:00:00,12213
2021-12-01 22:00:00,12219
2021-12-02 22:00:00,12228
2021-12-03 22:00:00,12256
2021-12-06 22:00:00,12252
2021-12-07 22:00:00,12243
